IncidntNum,categories,description,days,date,time,address,longitude,latitude,periods
170002815,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01/02/2017 12:00:00 AM,01:11:00,800 Block of LA PLAYA ST,-122.509895418239,37.7723131976814,early_morning
170002821,ASSAULT,BATTERY,Monday,01/02/2017 12:00:00 AM,00:53:00,4100 Block of 18TH ST,-122.435563016294,37.760801062884,early_morning
170002837,ASSAULT,BATTERY,Monday,01/02/2017 12:00:00 AM,01:50:00,3100 Block of FILLMORE ST,-122.43575101831,37.7987282178823,early_morning
170002843,WARRANTS,WARRANT ARREST,Monday,01/02/2017 12:00:00 AM,01:56:00,HAYES ST / LARKIN ST,-122.416293820935,37.777493677735,early_morning
170002859,"SEX OFFENSES, FORCIBLE","ORAL COPULATION, UNLAWFUL (ADULT VICTIM)",Monday,01/02/2017 12:00:00 AM,01:45:00,800 Block of FRANKLIN ST,-122.422487282768,37.7824551301712,early_morning
170002859,OTHER OFFENSES,PROBATION VIOLATION,Monday,01/02/2017 12:00:00 AM,01:45:00,800 Block of FRANKLIN ST,-122.422487282768,37.7824551301712,early_morning
170002865,ASSAULT,BATTERY,Monday,01/02/2017 12:00:00 AM,02:00:00,700 Block of KEARNY ST,-122.404847847867,37.7951006528052,early_morning
170002871,ASSAULT,BATTERY,Monday,01/02/2017 12:00:00 AM,01:56:00,CESAR CHAVEZ ST / VALENCIA ST,-122.42027922768,37.7481246616016,early_morning
170002887,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Monday,01/02/2017 12:00:00 AM,02:44:00,3200 Block of FILLMORE ST,-122.436071833387,37.7996224230809,early_morning
170002893,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01/02/2017 12:00:00 AM,02:40:00,1100 Block of JUNIPERO SERRA BL,-122.472389041033,37.7175010456614,early_morning
170002906,ROBBERY,"ROBBERY, ARMED WITH A GUN",Monday,01/02/2017 12:00:00 AM,02:05:00,300 Block of 9TH ST,-122.410416664036,37.7727234013654,early_morning
170002906,PROSTITUTION,PIMPING,Monday,01/02/2017 12:00:00 AM,02:05:00,300 Block of 9TH ST,-122.410416664036,37.7727234013654,early_morning
170002906,PROSTITUTION,HUMAN TRAFFICKING,Monday,01/02/2017 12:00:00 AM,02:05:00,300 Block of 9TH ST,-122.410416664036,37.7727234013654,early_morning
170002906,OTHER OFFENSES,CONSPIRACY,Monday,01/02/2017 12:00:00 AM,02:05:00,300 Block of 9TH ST,-122.410416664036,37.7727234013654,early_morning
170002912,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Monday,01/02/2017 12:00:00 AM,03:51:00,BAY SHORE BL / CORTLAND AV,-122.406979507963,37.739566960911,early_morning
170002928,ASSAULT,"CHILD, INFLICTING INJURY RESULTING IN TRAUMATIC CONDITION",Monday,01/02/2017 12:00:00 AM,04:17:00,200 Block of GOLDEN GATE AV,-122.415120589338,37.7817589366405,early_morning
170002934,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Monday,01/02/2017 12:00:00 AM,03:30:00,0 Block of POLK ST,-122.41799760821,37.7769551138436,early_morning
170002940,BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",Monday,01/02/2017 12:00:00 AM,04:15:00,900 Block of LOMBARD ST,-122.417172035783,37.8023582922302,early_morning
